,bioprocess_count,genes_related
LYMPH VESSEL FORMATION,7,"['TLR4', 'IFNA1', 'NOD2', 'VEGFA', 'TH', 'ITGAM', 'CTLA4']"
PROTEIN MODIFICATION,7,"['INS', 'AKT1', 'LY96', 'BAX', 'BCL2', 'RHO', 'PPIB']"
RESPONSE TO NUTRIENT,7,"['INS', 'PPARG', 'NOD2', 'MTOR', 'SST', 'PPIB', 'PTEN']"
MUSCLE CONTRACTION,7,"['INS', 'IL6', 'VEGFA', 'CD4', 'MUC7', 'GC', 'PTEN']"
BLOOD CLOTTING,7,"['INS', 'IFNA1', 'SERPINA1', 'PRTN3', 'ANXA5', 'F2', 'PPIB']"
CHEWING,7,"['INS', 'TTR', 'TH', 'CISH', 'CP', 'PPIB', 'BBS9']"
CELLULAR METABOLIC PROCESS,7,"['FAS', 'PPARG', 'TP53', 'CDKN1A', 'MTOR', 'HGS', 'PPIB']"
DIGESTIVE RUMINATION,7,"['FAS', 'IL6', 'CISH', 'CP', 'PSMB6', 'SLC17A5', 'PPIB']"
DOWN REGULATION OF NEURON APOPTOSIS,7,"['CCL2', 'SOD1', 'BAX', 'IL10', 'PIK3CA', 'BCL2', 'SOD2']"
CELLULAR RESPONSE TO OXIDATIVE STRESS,7,"['CAT', 'FOS', 'SOD1', 'G6PD', 'GSR', 'GSR', 'SOD2']"
FRIZZLED SIGNALING PATHWAY,7,"['SLC9A3R1', 'AKT1', 'IL6', 'MTOR', 'CCND1', 'PPIB', 'PGR']"
GO:0072616,7,"['IFNA1', 'IL4', 'IL5', 'TH', 'ITGAM', 'CD40', 'PPIB']"
GO:0072602,7,"['IFNA1', 'AHSA1', 'IL4', 'TH', 'CD4', 'PPIB', 'PTEN']"
RESPONSE TO IL-2,7,"['IFNA1', 'IL2', 'IL4', 'IL5', 'IL6', 'IL10', 'KIT']"
B CELL DEVELOPMENT,7,"['IFNA1', 'IL4', 'IL5', 'IL10', 'GC', 'PPIB', 'KIT']"
PROTEIN SORTING ALONG SECRETORY PATHWAY,7,"['DEFB1', 'IL4', 'CISH', 'MTOR', 'GC', 'PPIB', 'TG']"
SEED MATURATION,7,"['SERPINA1', 'TH', 'AHR', 'CTLA4', 'SLC17A5', 'PPIB', 'TG']"
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,7,"['AKT1', 'VEGFA', 'VEGFA', 'MAPK1', 'MTOR', 'ABCB1', 'HIF1A']"
RESPONSE TO OXIDATIVE STRESS,7,"['AKT1', 'MPO', 'LPO', 'PTGS2', 'BCL2', 'PSMB6', 'PPIB']"
PEPTIDYL-THREONINE PHOSPHORYLATION,7,"['AKT1', 'MAPK1', 'MAPK8', 'MAPK8', 'BCL2', 'MTOR', 'GRK2']"
6-PHOSPHOFRUCTOKINASE REDUCTION,7,"['SLURP1', 'TTR', 'C3', 'NOD2', 'AR', 'PTS', 'CTLA4']"
TROPISM,7,"['SLURP1', 'REN', 'NOD2', 'CD4', 'PSMB6', 'CTLA4', 'PPIB']"
NEURON DIFFERENTIATION,7,"['AHSA1', 'SLC26A4', 'EGFR', 'IL6', 'CASP3', 'PSMB6', 'PPIB']"
MONOCYTE CELL DIFFERENTIATION,7,"['IL4', 'IL5', 'NR3C1', 'PPARG', 'VEGFA', 'PSMB6', 'PPIB']"
IMPORT INTO NUCLEUS,7,"['IL4', 'IL5', 'NR3C1', 'TH', 'RELA', 'PPIB', 'PTEN']"
EOSINOPHIL ACTIVATION,7,"['IL5', 'NOD2', 'MAPK1', 'TH', 'CD4', 'CTLA4', 'PPIB']"
T CELL ANERGY,7,"['NR3C1', 'NOD2', 'CD4', 'IL10', 'CD40', 'CTLA4', 'PPIB']"
T CELL HOMEOSTASIS,7,"['PI3', 'NOD2', 'CD4', 'CASP3', 'BCL2', 'CTLA4', 'PPIB']"
CELL-CELL ADHESION,7,"['EGFR', 'TP53', 'CDKN1A', 'BCL2', 'CD44', 'CD44', 'TCEAL1']"
DEDIFFERENTIATION,7,"['NOD2', 'PTS', 'ITGAM', 'PSMB6', 'CTLA4', 'PPIB', 'HIF1A']"
AUTOPHAGY OF MITOCHONDRION,7,"['NLRP3', 'MAPK1', 'MCOLN1', 'CASP3', 'BCL2', 'MTOR', 'PPIB']"
XENOBIOTIC METABOLIC PROCESS,7,"['VEGFA', 'FOS', 'CYP3A4', 'EGF', 'AHR', 'CYP2E1', 'CYP2E1']"
ERK CASCADE,7,"['MAPK1', 'MAPK1', 'MAPK1', 'PTGS2', 'MAPK3', 'MAPK3', 'EGF']"
FC-EPSILON RECEPTOR SIGNALING PATHWAY,7,"['MAPK1', 'FOS', 'MAPK8', 'RELA', 'PIK3CA', 'MAPK3', 'PSMB6']"
CELLULAR MEMBRANE ORGANISATION,6,"['CFTR', 'EGFR', 'CD4', 'EGF', 'HGS', 'APOB']"
LIVER DEVELOPMENT,6,"['TGFB1', 'SMAD3', 'TP53', 'RELA', 'PIK3CA', 'AHR']"
DOWN REGULATION OF CELL GROWTH,6,"['TGFB1', 'PPARG', 'SMAD3', 'TP53', 'CDKN1A', 'BCL2']"
POSITIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY,6,"['TGFB1', 'TNF', 'VEGFA', 'BAX', 'CCK', 'IFNG']"
POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION,6,"['TGFB1', 'CRP', 'EGFR', 'SOD1', 'ITGAM', 'ITGAM']"
POSITIVE REGULATION OF PROTEIN IMPORT INTO CELL NUCLEUS,6,"['TGFB1', 'LEP', 'SMAD3', 'MAPK1', 'PTGS2', 'IFNG']"
DOWN REGULATION OF PROGRESSION THROUGH MITOTIC CELL CYCLE,6,"['TGFB1', 'TNF', 'SLC9A3R1', 'EGFR', 'SMAD3', 'IL10']"
POLLINATION,6,"['ELANE', 'F2', 'TH', 'CISH', 'CP', 'PPIB']"
LIPID OXIDATION,6,"['ELANE', 'INS', 'FAS', 'AKT1', 'AHSA1', 'CP']"
PROTEIN AMINO ACID OXIDATION,6,"['ELANE', 'CAT', 'NR3C1', 'LPO', 'CP', 'PPIB']"
ION MEMBRANE TRANSPORT,6,"['SCNN1B', 'CLCA1', 'SCNN1G', 'ANO1', 'SCNN1A', 'ATP12A']"
ACTIVATION OF THE INHIBITOR OF KAPPA KINASE,6,"['TNFRSF1A', 'TNF', 'TLR4', 'AKT1', 'LY96', 'RELA']"
EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,6,"['TNFRSF1A', 'TNF', 'TNF', 'TNF', 'BAX', 'BCL2']"
GO:0072615,6,"['TNF', 'IL2', 'IL4', 'IL5', 'TH', 'IL10']"
GO:0072606,6,"['TNF', 'CXCL8', 'TLR4', 'ATP12A', 'IL6', 'PIK3CA']"
DOWN REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION,6,"['TNF', 'TLR4', 'BPI', 'BPI', 'POMC', 'IL10']"
CHEMOKINE SECRETION,6,"['TNF', 'IFNA1', 'NOD2', 'IL6', 'FOS', 'CTLA4']"
LEUKOCYTE ADHESION,6,"['TNF', 'CXCL8', 'NR3C1', 'TH', 'CD44', 'GC']"
LUNG DEVELOPMENT,6,"['TNF', 'EGFR', 'VEGFA', 'STAT3', 'ITGAM', 'GC']"
SKELETAL DEVELOPMENT,6,"['TNF', 'PTH', 'PTH', 'IL6', 'TH', 'MMP9']"
NITRIC-OXIDE SYNTHASE ACTIVATOR,6,"['TNF', 'INS', 'AKT1', 'NLRP3', 'SST', 'HIF1A']"
CELLULAR RESPONSE TO DRUG,6,"['IL1B', 'REN', 'EGFR', 'NOS2', 'TP53', 'TH']"
ACTIVATION OF ADENYLATE CYCLASE ACTIVITY,6,"['CA2', 'AHSA1', 'POMC', 'MAPK8', 'MAPK3', 'PPIB']"
RECEPTOR INTERNALIZATION,6,"['CXCR1', 'CXCL8', 'CXCR2', 'MAPK3', 'CP', 'GRK2']"
CELL CYCLE PHASE TRANSITION,6,"['LEP', 'AKT1', 'MAPK1', 'STAT3', 'PIK3CA', 'CCND1']"
REGULATION OF APPETITE,6,"['LEP', 'INS', 'SCT', 'POMC', 'POMC', 'CCK']"
PLACENTA DEVELOPMENT,6,"['LEP', 'PPARG', 'IL6', 'SOD1', 'PGR', 'KIT']"
POSITIVE REGULATION OF TNF PRODUCTION,6,"['LEP', 'TLR4', 'TLR4', 'LY96', 'NOD2', 'NOD2']"
EPITHELIAL CELL PROLIFERATION,6,"['TLR4', 'IFNA1', 'PPIB', 'KIT', 'TG', 'PTEN']"
POSITIVE REGULATION OF IL-10 PRODUCTION,6,"['TLR4', 'IL4', 'IL4', 'NOD2', 'IL6', 'STAT3']"
CELLULAR RESPONSE TO GAMMA-INTERFERON,6,"['TLR4', 'CCL2', 'CCL2', 'CCL2', 'GSN', 'NOS2']"
RESPONSE TO FOOD,6,"['INS', 'AKT1', 'MPO', 'TH', 'POMC', 'G6PD']"
"ANDROST-4-ENE-3,17-DIONE ANABOLISM",6,"['INS', 'ALB', 'ABCB1', 'GC', 'PPIB', 'TG']"
POSITIVE REGULATION OF CELL GROWTH,6,"['INS', 'AKT1', 'IL2', 'EGFR', 'F2', 'BCL2']"
ELECTRON TRANSPORT CHAIN,6,"['FAS', 'IL4', 'SLC26A4', 'CYP3A4', 'GSR', 'PPIB']"
CELLULAR RESPONSE TO AMINO ACID STARVATION,6,"['FAS', 'MAPK1', 'MAPK8', 'CDKN1A', 'MAPK3', 'MTOR']"
REGULATION OF CELL SHAPE,6,"['CCL2', 'SLC9A3R1', 'F2', 'VEGFA', 'CRK', 'KIT']"
MISMATCH REPAIR,6,"['CAT', 'CISH', 'CP', 'HGS', 'CTLA4', 'PPIB']"
REFLEX,6,"['CAT', 'TTR', 'PTGS2', 'CISH', 'PPIB', 'PGR']"
STEREOTAXIS,6,"['CAT', 'VIP', 'TTR', 'SLC26A4', 'FOS', 'PPIB']"
RESPONSE TO HYDROGEN PEROXIDE,6,"['CAT', 'HP', 'SOD1', 'CASP3', 'BCL2', 'CRK']"
CELLULAR OXIDANT DETOXIFICATION,6,"['CAT', 'HP', 'LPO', 'ALB', 'PTGS2', 'GSR']"
ESTABLISHMENT OF T CELL POLARITY,6,"['IFNA1', 'IL4', 'IL6', 'TH', 'CD4', 'IL10']"
CENTRAL NERVOUS SYSTEM DEVELOPMENT,6,"['GSN', 'MAL', 'WDTC1', 'PTS', 'MTOR', 'PTEN']"
CELL-MEDIATED IMMUNITY,6,"['CD8A', 'AKT1', 'TH', 'CD4', 'IL10', 'CTLA4']"
EXOSOMAL SECRETION,6,"['AKT1', 'HGS', 'PSMB6', 'PPIB', 'BBS9', 'HIF1A']"
REGULATION OF CELL GROWTH,6,"['AKT1', 'IL4', 'CISH', 'PIK3CA', 'MTOR', 'MTOR']"
AUTOPHAGIC CELL DEATH,6,"['AKT1', 'AHSA1', 'TP53', 'MAPK1', 'MAPK8', 'MTOR']"
ANOIKIS,6,"['AKT1', 'PIK3CA', 'MTOR', 'GC', 'PPIB', 'TG']"
ANGIOTENSIN MATURATION,6,"['CTSG', 'REN', 'REN', 'REN', 'ACE', 'ACE']"
DENDRITIC CELL DIFFERENTIATION,6,"['AHSA1', 'IL4', 'NOD2', 'STAT3', 'CTLA4', 'PPIB']"
MAST CELL DIFFERENTIATION,6,"['AHSA1', 'IL4', 'IL10', 'KIT', 'KIT', 'KIT']"
ABSORPTION OF LIGHT,6,"['TTR', 'SLC26A4', 'CISH', 'PTS', 'CASP3', 'APOB']"
PROTEIN AMINO ACID DEPHOSPHORYLATION,6,"['SLC12A2', 'BCL2', 'PTEN', 'PTEN', 'PTEN', 'PTEN']"
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,6,"['EGFR', 'VEGFA', 'VEGFA', 'VEGFA', 'PIK3CA', 'CRK']"
REGULATION OF LIPID METABOLIC PROCESS,6,"['PPARG', 'TP53', 'CYP3A4', 'PPARA', 'PPARA', 'CREBBP']"
DOWN REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION,6,"['PPARG', 'PPARG', 'CDKN1A', 'IL10', 'SOD2', 'PTEN']"
PRE-MRNA SPLICING FACTOR ACTIVITY,6,"['F2', 'CISH', 'HGS', 'PPIG', 'CREBBP', 'PPIB']"
IN UTERO EMBRYONIC DEVELOPMENT,6,"['SMAD3', 'VEGFA', 'TP53', 'AR', 'WDTC1', 'APOB']"
T CELL RECEPTOR SIGNALING PATHWAY,6,"['MAPK1', 'CD4', 'RELA', 'PIK3CA', 'PSMB6', 'CTLA4']"
N SIGNALING PATHWAY,6,"['CD4', 'IL10', 'AHR', 'PSMB6', 'CREBBP', 'PPIB']"
OOCYTE DEVELOPMENT,6,"['BAX', 'BCL2', 'BCL2', 'AHR', 'KIT', 'PTEN']"
LUNG INDUCTION,5,"['TGFB1', 'TNF', 'IL4', 'IL5', 'AHR']"
VASCULAR MORPHOGENESIS,5,"['TGFB1', 'VEGFA', 'VEGFA', 'MMP9', 'KIT']"
DOWN REGULATION OF PROTEIN AMINO ACID PHOSPHORYLATION,5,"['TGFB1', 'IL2', 'MTOR', 'PTEN', 'PTEN']"
REGULATION OF CELL MIGRATION,5,"['TGFB1', 'AKT1', 'AKT1', 'SST', 'CD44']"
RECEPTOR BREAKDOWN,5,"['TGFB1', 'ESR1', 'EGF', 'PPIB', 'KIT']"
REGULATION OF CELL POPULATION PROLIFERATION,5,"['TGFB1', 'GUCY2C', 'NOS2', 'STAT3', 'KIT']"
CELLULAR RESPONSE TO TGF-BETA STIMULUS,5,"['TGFB1', 'TGFB1', 'NR3C1', 'SMAD3', 'CRK']"
POSITIVE REGULATION OF CANONICAL WNT RECEPTOR SIGNALING PATHWAY,5,"['TGFB1', 'EGFR', 'SMAD3', 'EGF', 'PSMB6']"
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION RESULTING IN INDUCTION OF APOPTOSIS",5,"['TNFRSF1A', 'TNF', 'TNF', 'BAX', 'BCL2']"
GO:0070970,5,"['TNF', 'IL2', 'IL4', 'TH', 'IL10']"
KILLER ACTIVITY,5,"['TNF', 'AKT1', 'PIK3CA', 'PPIB', 'HIF1A']"
CACHECTIN SECRETION,5,"['TNF', 'IL4', 'PI3', 'TH', 'IL10']"
ENDOTHELIAL CELL ACTIVATION,5,"['TNF', 'CXCL8', 'TLR4', 'MPO', 'IL6']"
NEGATIVE REGULATION OF DEPENDENCE RECEPTOR SIGNALING PATHWAY,5,"['TNF', 'TNF', 'IL1B', 'AKT1', 'BCL2']"
INTEGRIN ACTIVATION,5,"['TNF', 'IL2', 'NOD2', 'CD44', 'CTLA4']"
MAST CELL CHEMOTAXIS,5,"['TNF', 'VEGFA', 'KIT', 'KIT', 'PTEN']"
ASYMMETRIC PROTEIN LOCALISATION,5,"['TNF', 'CA2', 'TP53', 'BCL2', 'CTLA4']"
POSITIVE REGULATION OF CHEMOKINE PRODUCTION,5,"['TNF', 'TLR4', 'IL6', 'IL6', 'HIF1A']"
RECEPTOR ANABOLISM,5,"['TNF', 'EGFR', 'IL10', 'PPIB', 'PGR']"
POSITIVE REGULATION OF HETEROTYPIC CELL-CELL ADHESION,5,"['TNF', 'IL1B', 'IL1B', 'IL10', 'CD44']"
DOWN REGULATION OF CASPASE ACTIVITY,5,"['TNF', 'AKT1', 'VEGFA', 'PTGS2', 'CD44']"
POSITIVE REGULATION OF GLIAL CELL PROLIFERATION,5,"['TNF', 'TNF', 'IL1B', 'IL6', 'MTOR']"
POSITIVE REGULATION OF AMYLOID-BETA FORMATION,5,"['TNF', 'RELA', 'CASP3', 'IFNG', 'IFNG']"
ANTEROGRADE (ER TO GOLGI) TRANSPORT,5,"['DCTN4', 'INS', 'SERPINA1', 'SERPINA1', 'F2']"
ESTABLISHMENT OF INTEGRATED PROVIRAL LATENCY,5,"['IL1B', 'TLR4', 'PRTN3', 'FOS', 'RELA']"
GLUCOCORTICOID SECRETION,5,"['IL1B', 'INS', 'AKT1', 'AHSA1', 'MAPK8']"
IL-17A PRODUCTION,5,"['IL1B', 'TLR4', 'IFNA1', 'TH', 'CD4']"
POSITIVE REGULATION OF T CELL PROLIFERATION,5,"['IL1B', 'LEP', 'IL4', 'IL6', 'CD4']"
NITRIC-OXIDE SYNTHASE REGULATOR,5,"['IL1B', 'IL1B', 'LEP', 'AKT1', 'EGFR']"
INTERPHASE,5,"['CA2', 'INS', 'HGS', 'ITGAM', 'PPIB']"
DIHYDROGEN SYNTHESIS,5,"['CA2', 'C3', 'NOD2', 'PTS', 'CTLA4']"
KIDNEY DEVELOPMENT,5,"['CA2', 'REN', 'VEGFA', 'BAX', 'ACE']"
RESPONSE TO ESTROGEN,5,"['CA2', 'PPARG', 'MAPK1', 'ESR1', 'CCND1']"
T CELL CHEMOTAXIS,5,"['CXCR1', 'CXCL8', 'CXCR2', 'SLC12A2', 'CD4']"
DENDRITIC CELL CHEMOTAXIS,5,"['CXCR1', 'CXCL8', 'CXCR2', 'IL6', 'PPIB']"
IMMUNE CELL CHEMOTAXIS,5,"['CXCL8', 'CXCL8', 'CCL2', 'IL10', 'PPIB']"
REGULATION OF NATURAL KILLER CELL ACTIVATION,5,"['LEP', 'IFNA1', 'NOD2', 'PTS', 'CTLA4']"
BONE GROWTH,5,"['LEP', 'INS', 'C3', 'TH', 'PPIB']"
ACTIVATION OF PHOSPHOLIPASE C ACTIVITY BY G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY COUPLED TO IP3 SECOND MESSENGER,5,"['ANO1', 'CXCR2', 'VIP', 'P2RY2', 'ESR1']"
MRNA MATURATION,5,"['TLR4', 'TP53', 'PTGS2', 'CREBBP', 'PPIB']"
BLOOD PLATELET AGGREGATION,5,"['TLR4', 'INS', 'WDTC1', 'MAPK3', 'PPIB']"
POSITIVE REGULATION OF MAJOR HISTOCOMPATIBILITY COMPLEX CLASS II BIOSYNTHESIS,5,"['TLR4', 'IL4', 'IL4', 'IL10', 'IFNG']"
GO:0072611,5,"['INS', 'IL4', 'IL5', 'CD4', 'PPIB']"
RNA ANABOLISM,5,"['INS', 'CTSG', 'TP53', 'GC', 'PPIB']"
OXIDATIVE PHOSPHORYLATION,5,"['INS', 'FAS', 'IL6', 'WDTC1', 'HGS']"
REGULATION OF GROWTH,5,"['INS', 'MMP9', 'PIK3CA', 'PPIB', 'IFNG']"
RESPONSE TO GROWTH FACTOR,5,"['INS', 'PI3', 'MAPK1', 'MTOR', 'PPIB']"
OVULATION,5,"['INS', 'AKT1', 'PTGS2', 'PPIB', 'APOB']"
RESPONSE TO AMINO ACID,5,"['INS', 'RELA', 'CASP3', 'MTOR', 'SST']"
FIBRINOLYSIS,5,"['INS', 'C3', 'F2', 'RHO', 'PPIB']"
REGULATION OF PROTEIN LOCALISATION,5,"['INS', 'VIP', 'VIP', 'SLC26A4', 'MAPK8']"
DOWN REGULATION OF PROTEIN CATABOLIC PROCESS,5,"['INS', 'EGFR', 'NOS2', 'SMAD3', 'RELA']"
CHOLESTEROL ESTERIFICATION,5,"['FAS', 'AHSA1', 'APOB', 'TG', 'PTEN']"
GO:0072610,5,"['CCL2', 'IFNA1', 'IL4', 'NOD2', 'TH']"
B CELL CO-STIMULATION,5,"['CCL2', 'IL4', 'IL4', 'IL5', 'PPIB']"
EOSINOPHIL CHEMOTAXIS,5,"['CCL2', 'EGFR', 'CD4', 'MAPK3', 'AHR']"
HISTONE H3 K4 METHYLATION,5,"['CAT', 'IL4', 'IL5', 'TH', 'PPIB']"
POSITIVE REGULATION OF INTRINSIC APOPTOTIC PATHWAY,5,"['SLC9A3R1', 'TP53', 'TP53', 'BAX', 'BCL2']"
GERMINAL CENTER FORMATION,5,"['IFNA1', 'IL4', 'TH', 'PPIB', 'ACE']"
RESPONSE TO IL-4,5,"['IFNA1', 'IL4', 'TH', 'IL10', 'PSMB6']"
IL-33 PRODUCTION,5,"['IFNA1', 'IL5', 'TH', 'PPIB', 'KIT']"
RECEPTOR MEDIATED ENDOCYTOSIS,5,"['HP', 'ALB', 'ITGAM', 'PPIB', 'APOB']"
LEARNING OR MEMORY,5,"['VIP', 'EGFR', 'MAPK1', 'CASP3', 'PTEN']"
LEUKOTRIENE METABOLIC PROCESS,5,"['AKT1', 'AHSA1', 'MAPK1', 'MAPK8', 'PTEN']"
DRUG TRANSPORT,5,"['AKT1', 'ABCB1', 'PPIB', 'KIT', 'PTEN']"
REGULATION OF CELL LOCOMOTION,5,"['AKT1', 'EGFR', 'CDKN1A', 'EGF', 'TCEAL1']"
HEXOSE MONOPHOSPHATE PATHWAY,5,"['AKT1', 'PPARG', 'G6PD', 'G6PD', 'G6PD']"
PHOSPHORYLATION,5,"['AKT1', 'STAT3', 'PIK3CA', 'MAPK3', 'MTOR']"
PROTEIN UBIQUITINATION,5,"['AKT1', 'TP53', 'WDTC1', 'CISH', 'HIF1A']"
BIOFILM FORMATION,5,"['MUC5AC', 'REN', 'TH', 'PSMB6', 'PPIB']"
OOGENESIS,5,"['SLURP1', 'AR', 'GC', 'PPIB', 'KIT']"
CELLULAR DETOXIFICATION OF SUPEROXIDE RADICALS,5,"['MPO', 'SOD1', 'SOD1', 'SOD1', 'SOD2']"
COLLAGEN ANABOLISM,5,"['IL4', 'SMAD3', 'MAPK3', 'CP', 'PPIB']"
ANTIBODY SECRETION,5,"['IL4', 'IL5', 'TH', 'GC', 'PPIB']"
CELLULAR LOCALISATION,5,"['IL5', 'AQP5', 'MAPK1', 'PSMB6', 'CREBBP']"
CELLULAR RESPIRATION,5,"['IL5', 'STAT3', 'PSMB6', 'PPIB', 'IFNG']"
MYELOID CELL DIFFERENTIATION,5,"['NR3C1', 'IL6', 'MTOR', 'ITGAM', 'PPIB']"
INTRACELLULAR STEROID HORMONE RECEPTOR SIGNALING PATHWAY,5,"['NR3C1', 'AR', 'ESR1', 'ESR1', 'PGR']"
AMMONIA TRANSPORT,5,"['TTR', 'SLC12A2', 'SLC12A2', 'GPI', 'PPIB']"
NEGATIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,5,"['CRP', 'PPARG', 'PPARG', 'PPARA', 'PPARA']"
CELL VOLUME HOMEOSTASIS,5,"['SLC12A2', 'SLC12A2', 'SLC12A2', 'KCNN4', 'DNAH5']"
VIGS,5,"['SLC26A4', 'NOD2', 'CTLA4', 'CREBBP', 'PPIB']"
MALE GONAD DEVELOPMENT,5,"['REN', 'AR', 'ESR1', 'BCL2', 'KIT']"
ACTIVATION OF MAP KINASE KINASE ACTIVITY,5,"['EGFR', 'MAPK1', 'MAPK3', 'EGF', 'CRK']"
POSITIVE REGULATION OF PHOSPHORYLATION,5,"['EGFR', 'SMAD3', 'AR', 'MAPK3', 'EGF']"
BASOPHIL ACTIVATION,5,"['ALB', 'NOD2', 'TH', 'POMC', 'CTLA4']"
T CELL MIGRATION,5,"['NOD2', 'TH', 'CD4', 'IL10', 'CTLA4']"
DARK ADAPTATION,5,"['NOD2', 'FOS', 'PSMB6', 'CTLA4', 'PPIB']"
FIBROBLAST ACTIVATION,5,"['NOD2', 'IL6', 'STAT3', 'CTLA4', 'PPIB']"
PHOTOPERIODISM,5,"['NLRP3', 'CISH', 'HGS', 'PPIB', 'TG']"
IL-6-MEDIATED SIGNALING PATHWAY,5,"['IL6', 'IL6', 'STAT3', 'STAT3', 'STAT3']"
FOLLICULAR PHASE,5,"['VEGFA', 'SOD1', 'BAX', 'BCL2', 'KIT']"
MAMMARY GLAND ALVEOLUS DEVELOPMENT,5,"['VEGFA', 'AR', 'ESR1', 'EGF', 'CCND1']"
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST",5,"['TP53', 'TP53', 'CDKN1A', 'CDKN1A', 'BAX']"
DNA HYPOMETHYLATION,5,"['TH', 'CD4', 'PTGS2', 'PPIB', 'IFNG']"
B CELL HOMEOSTASIS,5,"['BAX', 'CASP3', 'BCL2', 'PPIB', 'PTEN']"
PROTEIN PEPTIDYL-PROLYL ISOMERIZATION,5,"['PPIG', 'PPIG', 'PPIB', 'PPIB', 'PPIB']"
CHOLESTEROL ANABOLISM,4,"['CFTR', 'INS', 'G6PD', 'PPIB']"
CHOLESTEROL TRANSPORT,4,"['CFTR', 'CREBBP', 'APOB', 'APOB']"
CELLULAR RESPONSE TO ENDOPLASMIC RETICULUM STRESS,4,"['CFTR', 'CXCL8', 'FAS', 'MAPK3']"
SPERM ACTIVATION,4,"['CFTR', 'CA2', 'SPINK1', 'SLC26A3']"
BODY FLUID OSMOREGULATION,4,"['CFTR', 'SCNN1B', 'SCNN1G', 'SCNN1A']"
FIBROBLAST PROLIFERATION,4,"['TGFB1', 'IL4', 'NLRP3', 'CD40']"
ATP ANABOLISM,4,"['TGFB1', 'FAS', 'ATP12A', 'WDTC1']"
BMP RECEPTOR SIGNALING PATHWAY,4,"['TGFB1', 'HFE', 'SMAD3', 'MAPK3']"
POSITIVE REGULATION OF CTLA-8 PRODUCTION,4,"['TGFB1', 'IL2', 'NOD2', 'IL6']"
POSITIVE REGULATION OF COLLAGEN ANABOLISM,4,"['TGFB1', 'TGFB1', 'TGFB1', 'F2']"
DOWN REGULATION OF FAT CELL DIFFERENTIATION,4,"['TGFB1', 'TNF', 'SMAD3', 'IL6']"
DOWN REGULATION OF EPITHELIAL CELL PROLIFERATION,4,"['TGFB1', 'TGFB1', 'AR', 'PTEN']"
POSITIVE REGULATION OF CELL DIVISION,4,"['TGFB1', 'IL1B', 'CAT', 'VEGFA']"
SMAD PROTEIN SIGNAL TRANSDUCTION,4,"['TGFB1', 'SMAD3', 'SMAD3', 'FOS']"
ACTIVATION OF PROTEIN LOCALIZATION IN NUCLEUS,4,"['TGFB1', 'INS', 'AKT1', 'F2']"
"DOWN REGULATION OF GENE SILENCING BY MIRNA, PRODUCTION OF MIRNAS",4,"['TGFB1', 'TNF', 'TP53', 'ESR1']"
ACTIVATION OF MICRORNA BIOGENESIS,4,"['TGFB1', 'EGFR', 'IL6', 'TP53']"
RESPONSE TO ABIOTIC STRESS,4,"['ELANE', 'TP53', 'MAPK1', 'PPIB']"
DOWN REGULATION OF INTERLEUKIN-8 PRODUCTION,4,"['ELANE', 'BPI', 'BPI', 'IL10']"
SODIUM CHANNEL AUXILIARY PROTEIN ACTIVITY,4,"['SCNN1B', 'SCNN1G', 'EGF', 'PPIB']"
PHYSIOLOGICAL RESPONSE TO STIMULUS,4,"['SCNN1B', 'SCNN1G', 'SCNN1A', 'BBS9']"
SODIUM ION HOMEOSTASIS,4,"['SCNN1B', 'SCNN1G', 'SCNN1A', 'SLC12A2']"
PROTEIN LOCALISATION IN PLASMA MEMBRANE,4,"['TNFRSF1A', 'TNF', 'SLC9A3R1', 'SLC9A3R1']"
MUSCLE ATROPHY,4,"['TNF', 'AKT1', 'PTS', 'MTOR']"
CHEMOKINESIS,4,"['TNF', 'IL4', 'IL6', 'PPIB']"
RNA REPLICATION,4,"['TNF', 'CD8A', 'IL10', 'PPIB']"
RESPONSE TO IL-6,4,"['TNF', 'IL6', 'CD4', 'STAT3']"
EMBRYONIC DIGESTIVE TRACT DEVELOPMENT,4,"['TNF', 'TNF', 'CXCL8', 'SCT']"
MONOCYTE CHEMOTAXIS,4,"['TNF', 'CCL2', 'CCL2', 'IL6']"
CCL17 PRODUCTION,4,"['TNF', 'IL4', 'IL6', 'CD4']"
THYMIC STROMAL LYMPHOPOIETIN PRODUCTION,4,"['TNF', 'IL4', 'TH', 'HIF1A']"
PROTEIN SYNTHESIS ELONGATION,4,"['TNF', 'SERPINA1', 'MTOR', 'CTLA4']"
PHENOTYPIC DIMORPHISM,4,"['TNF', 'IL4', 'TH', 'PPIB']"
